target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
LH 114-7,LH-114-7,[L72] LH 114-7,LH114-7,LH 114-7,LH114-7,LMC2-675|LMC2_675|LH114-7,LMC2_675,LMC_675,LMC2-675,LMC2_675,LH114-7,LMC2-675,LMC2_675,LH114-7,,,,,,,,,
W61 28-23,W61-28-23,W61 28-23,W61-28-23,W61 28-23,W61-28-23,W61 28-23|[AAOMEGA]_159,W61 28-23,[AAOMEGA]_159,W61 28-23,[AAOMEGA]_159,,,,,,,,,,,,,
SK -68 133,SK-68D133,SK -68 133,SK-68D133,SK -68 133,SK-68D133,SK-68 133|[AAOMEGA]_248,SK-68 133,[AAOMEGA]_248,SK-68 133,[AAOMEGA]_248,,,,,,,,,,,,,
ST92 5-27,ST92-5-27,[ST92] 5-27,ST92-5-27,ST92 5-27,ST92-5-27,ST 5-27|ST5_27|LH101W24,ST 5-27,ST5_27,LH101W24,ST 5-27,ST5_27,LH101W24,,,,,,,,,,,
VFTS 404,VFTS-404,VFTS 404,VFTS-404,VFTS 404,VFTS-404,VFTS-404|VFTS_404,VFTS-404,VFTS_404,VFTS-404,VFTS_404,,,,,,,,,,,,,
GAIA DR3 4657277616048732544,GAIA-DR3-4657277616048732544,MCPS 083.91120-69.69685,MCPS083.91120-69.69685,MCPS 083.91120-69.69685,MCPS083.91120-69.69685,[AAOMEGA]-181|[AAOMEGA]_181,[AAOMEGA]-181,[AAOMEGA]_181,MCPS083.91120-69.69685,[AAOMEGA]-181,[AAOMEGA]_181,,,,,,,,,,,,
SK -67 69,SK-67D69,SK -67 69,SK-67D69,SK -67 69,SK-67D69,SK-67 69|SK_-6769,SK-67 69,SK_-6769,SK-67 69,SK_-6769,,,,,,,,,,,,,
FARINA 88,FARINA-88,[FBM2009] 88,FARINA-88,FARINA 88,FARINA-88,F09 088|[AAOMEGA]_364,F09 088,[AAOMEGA]_364,F09 088,[AAOMEGA]_364,,,,,,,,,,,,,
SK -67 108,SK-67D108,SK -67 108,SK-67D108,SK -67 108,SK-67D108,SK -67 108|[M2002]_135697,SK -67 108,[M2002]_135697,SK -67 108,[M2002]_135697,,,,,,,,,,,,,
W61 28-5,W61-28-5,W61 28-5,W61-28-5,W61 28-5,W61-28-5,W28-5|W28_5,W28-5,W28_5,W28-5,W28_5,,,,,,,,,,,,,
VFTS 355,VFTS-355,VFTS 355,VFTS-355,VFTS 355,VFTS-355,VFTS-355|VFTS_355,VFTS-355,VFTS_355,VFTS-355,VFTS_355,,,,,,,,,,,,,
SK -70 60,SK-70D60,SK -70 60,SK-70D60,SK -70 60,SK-70D60,SK -70 60|[M2002]_64006,SK -70 60,[M2002]_64006,SK -70 60,[M2002]_64006,,,,,,,,,,,,,
SK -71 46,SK-71D46,SK -71 46,SK-71D46,SK -71 46,SK-71D46,SK -71 46|[N206-FS]_214,SK-71_46,SK -71 46,[N206-FS]_214,SK-71_46,SK -71 46,[N206-FS]_214,,,,,,,,,,,
SK -67 167,SK-67D167,SK -67 167,SK-67D167,SK -67 167,SK-67D167,SK -67 167|[M2002]_152366,SK -67 167,[M2002]_152366,SK -67 167,[M2002]_152366,,,,,,,,,,,,,
SK -70 69,SK-70D69,SK -70 69,SK-70D69,SK -70 69,SK-70D69,SK -70 69|[M2002]_65981,SK -70 69,[M2002]_65981,SK -70 69,[M2002]_65981,SK-70-69,,,,,,,,,,,,
ST92 5-52,ST92-5-52,[ST92] 5-52,ST92-5-52,[ST92] 5-52,ST92-5-52,ST 5-52|ST5_52,ST 5-52,ST5_52,ST 5-52,ST5_52,,,,,,,,,,,,,
LH 58-496,LH-58-496,[L72] LH 58-496,LH58-496,LH 58-496,LH58-496,LH 58-496|LH58_496,LH 58-496,LH58_496,LH 58-496,LH58_496,,,,,,,,,,,,,
ST92 4-18,ST92-4-18,W61 4-4,ST92-4-18,ST92 4-18,ST92-4-18,W4-4|W4_4,W4-4,W4_4,W4-4,W4_4,,,,,,,,,,,,,
LMCE078-1,LMCE078-1,[MNM2015] LMCE078-1,LMCE078-1,LMCE078-1,LMCE078-1,[AAOMEGA]-271|[AAOMEGA]_271,[AAOMEGA]-271,[AAOMEGA]_271,[AAOMEGA]-271,[AAOMEGA]_271,,,,,,,,,,,,,
SK -71 19,SK-71D19,SK -71 19,SK-71D19,SK -71 19,SK-71D19,SK-71 19|SK_-7119,SK_-7119,SK-71 19,SK_-7119,SK-71 19,SK_-7119,,,,,,,,,,,,
SK -67 51,SK-67D51,SK -67 51,SK-67D51,SK -67 51,SK-67D51,SK -67 51|SK_-6751,SK -67 51,SK_-6751,SK -67 51,SK_-6751,,,,,,,,,,,,,
SK -66 100,SK-66D100,SK -66 100,SK-66D100,SK -66 100,SK-66D100,SK-66 100|SK_-66100,SK-66 100,SK_-66100,SK-66 100,SK_-66100,SK-66-100,,,,,,,,,,,,
